# step, temp, etotal, ke, tpot, evdw, ebond
2200 23518654130.763447 35277981196.14517 35277981196.14517 -2.721801489925164e-42 0.0 -2.721801489925164e-42
2210 23518654130.763447 35277981196.14517 35277981196.14517 -2.6487046151459272e-42 0.0 -2.6487046151459272e-42
2220 23518654130.763447 35277981196.14517 35277981196.14517 -2.5778877926141234e-42 0.0 -2.5778877926141234e-42
2230 23518654130.763447 35277981196.14517 35277981196.14517 -2.5092701037511624e-42 0.0 -2.5092701037511624e-42
2240 23518654130.763447 35277981196.14517 35277981196.14517 -2.4427738464396608e-42 0.0 -2.4427738464396608e-42
2250 23518654130.763447 35277981196.14517 35277981196.14517 -2.378324393591186e-42 0.0 -2.378324393591186e-42
2260 23518654130.763447 35277981196.14517 35277981196.14517 -2.3158500585248433e-42 0.0 -2.3158500585248433e-42
2270 23518654130.763447 35277981196.14517 35277981196.14517 -2.2552819668005065e-42 0.0 -2.2552819668005065e-42
2280 23518654130.763447 35277981196.14517 35277981196.14517 -2.1965539341705407e-42 0.0 -2.1965539341705407e-42
2290 23518654130.763447 35277981196.14517 35277981196.14517 -2.1396023503327095e-42 0.0 -2.1396023503327095e-42
2300 23518654130.763447 35277981196.14517 35277981196.14517 -2.084366068184829e-42 0.0 -2.084366068184829e-42
2310 23518654130.763447 35277981196.14517 35277981196.14517 -2.0307862982982744e-42 0.0 -2.0307862982982744e-42
2320 23518654130.763447 35277981196.14517 35277981196.14517 -1.9788065083432065e-42 0.0 -1.9788065083432065e-42
2330 23518654130.763447 35277981196.14517 35277981196.14517 -1.9283723272131242e-42 0.0 -1.9283723272131242e-42
2340 23518654130.763447 35277981196.14517 35277981196.14517 -1.8794314536102108e-42 0.0 -1.8794314536102108e-42
2350 23518654130.763447 35277981196.14517 35277981196.14517 -1.831933568866036e-42 0.0 -1.831933568866036e-42
2360 23518654130.763447 35277981196.14517 35277981196.14517 -1.7858302537844093e-42 0.0 -1.7858302537844093e-42
2370 23518654130.763447 35277981196.14517 35277981196.14517 -1.7410749093048357e-42 0.0 -1.7410749093048357e-42
2380 23518654130.763447 35277981196.14517 35277981196.14517 -1.697622680795839e-42 0.0 -1.697622680795839e-42
2390 23518654130.763447 35277981196.14517 35277981196.14517 -1.6554303857977594e-42 0.0 -1.6554303857977594e-42
2400 23518654130.763447 35277981196.14517 35277981196.14517 -1.6144564450442658e-42 0.0 -1.6144564450442658e-42
2410 23518654130.763447 35277981196.14517 35277981196.14517 -1.574660816600934e-42 0.0 -1.574660816600934e-42
2420 23518654130.763447 35277981196.14517 35277981196.14517 -1.536004932967897e-42 0.0 -1.536004932967897e-42
2430 23518654130.763447 35277981196.14517 35277981196.14517 -1.498451641001605e-42 0.0 -1.498451641001605e-42
2440 23518654130.763447 35277981196.14517 35277981196.14517 -1.4619651445184076e-42 0.0 -1.4619651445184076e-42
2450 23518654130.763447 35277981196.14517 35277981196.14517 -1.426510949449941e-42 0.0 -1.426510949449941e-42
2460 23518654130.763447 35277981196.14517 35277981196.14517 -1.3920558114269859e-42 0.0 -1.3920558114269859e-42
2470 23518654130.763447 35277981196.14517 35277981196.14517 -1.3585676856750223e-42 0.0 -1.3585676856750223e-42
2480 23518654130.763447 35277981196.14517 35277981196.14517 -1.3260156791106503e-42 0.0 -1.3260156791106503e-42
2490 23518654130.763447 35277981196.14517 35277981196.14517 -1.2943700045338897e-42 0.0 -1.2943700045338897e-42
